,gene_name,gene_length,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7,patient_8,patient_9,patient_10
23,AARS,3416,12929.0,10349.0,6192.0,3274.0,12563.0,22848.0,11450.0,11566.0,15242.0,5114.0
24,AASDHPPT,2868,1845.0,3131.0,1646.0,1567.0,2910.0,4715.0,3417.0,4558.0,3457.0,1487.0
25,AASDH,5896,235.0,876.0,426.0,443.0,904.0,4086.0,968.0,708.0,603.0,649.0
26,AASS,6054,590.0,1523.0,359.0,917.0,2654.0,4889.0,2285.0,343.0,1547.0,883.0
27,AATF,2144,5927.0,5419.0,2437.0,2911.0,3850.0,8049.0,4828.0,8017.0,2807.0,3168.0
28,AATK,5307,1571.49,257.17,155.0,60.0,208.06,145.0,1925.6,290.0,3057.0,1437.71
29,ABAT,5929,41.0,225.0,133.0,842.0,81.0,924.0,686.0,78.0,855.0,73.0
30,ABCA10,7068,19.0,10.0,5.0,72.04,86.1,32.0,33.0,11.0,76.0,29.0
31,ABCA11P,2356,90.89,365.89,89.52,332.15,368.5,302.28,222.35,139.0,211.37,162.37
32,ABCA12,9369,1.0,2.0,0.0,0.0,80.0,5.0,0.0,91.0,6.0,0.0
33,ABCA13,21156,20.0,49.0,62.0,1.0,134.0,40.0,26.0,33.0,363.0,19.0
34,ABCA17P,5442,16.0,1.0,6.0,21.0,4.0,47.0,48.0,93.0,66.0,22.0
35,ABCA1,10650,423.0,2660.95,16213.99,2119.87,3657.0,1448.0,7590.0,1625.0,671.0,3603.95
36,ABCA2,10165,972.0,1918.0,1985.0,2390.0,3106.0,11237.0,8658.0,437.0,5810.0,2062.0
37,ABCA3,7189,277.0,186.0,5755.0,853.0,223.0,8396.0,2530.0,64.0,998.0,3747.0
38,ABCA4,8591,31.0,1.0,19.0,52.0,3.0,5.0,4.0,21.0,191.0,0.0
39,ABCA5,9703,364.0,501.0,678.0,1291.96,2240.9,1555.0,1389.0,405.0,1254.0,1412.0
40,ABCA6,6594,4.0,43.0,16.0,177.0,121.0,186.0,230.0,5.0,759.0,12.0
41,ABCA7,7200,924.0,515.0,852.0,3774.0,1096.0,2500.0,1693.0,237.0,856.0,1851.0
42,ABCA8,6848,1.0,6262.0,0.0,50.0,4.0,55.0,8.0,5.0,50.0,0.0
43,ABCA9,6870,21.0,171.0,14.0,58.0,53.0,90.0,194.0,26.0,189.0,24.0
44,ABCB10,3856,618.0,2378.0,1185.0,805.0,1579.0,2506.0,1132.0,375.0,2518.0,812.0
45,ABCB11,4927,0.0,2.0,1.0,22.0,10.0,2.0,3.0,0.0,2.0,0.0
46,ABCB1,4872,10.0,283.0,311.0,466.0,8.0,213.0,572.0,39.0,72.0,83.0
47,ABCB4,4533,390.0,503.0,626.0,699.0,154.0,91.0,102.0,138.0,952.0,128.0
48,ABCB5,8876,1557.0,2440.0,2827.0,0.0,1013.0,22271.0,17.0,7734.0,5.0,6144.0
49,ABCB6,4474,2033.72,1064.21,1139.69,424.2,1572.96,4711.47,1666.73,3531.51,1631.89,1174.66
50,ABCB7,2385,673.0,1467.0,669.0,786.0,935.0,1624.0,1234.0,796.0,1357.0,941.0
51,ABCB8,5708,4757.0,2345.0,1604.0,961.0,2329.0,6385.0,3122.0,1507.0,1491.0,2857.0
52,ABCB9,5649,1006.64,491.93,309.05,156.06,484.36,911.58,473.9,2095.92,1431.26,388.68
53,ABCC10,6847,1599.0,3949.0,2037.0,1062.0,2515.0,3565.0,2137.0,5437.0,1577.0,1582.0
54,ABCC11,5038,2.0,33.0,12.0,2.0,17.0,21.0,307.0,41.0,4.0,339.0
55,ABCC12,6125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
56,ABCC13,5391,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
57,ABCC1,6856,2846.0,1155.0,1813.0,2651.0,2546.0,4562.0,3790.0,6798.0,1800.0,1708.0
58,ABCC2,5051,598.0,2123.0,1809.0,85.0,577.0,6514.0,752.0,2923.0,11.0,2407.0
59,ABCC3,7372,22.0,139.0,199.0,1671.0,76.0,901.0,885.0,17.0,172.0,318.0
60,ABCC4,6517,106.0,218.0,513.0,651.0,1947.0,2189.0,1079.0,1316.0,1693.0,271.0
61,ABCC5,10561,1999.0,3973.0,2823.0,1511.0,2470.0,3163.0,1691.0,3116.0,2496.0,1233.0
62,ABCC6P1,2838,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
63,ABCC6P2,706,15.0,2.0,0.0,2.0,1.0,1.0,2.0,5.0,19.0,2.0
64,ABCC6,6322,15.0,1.0,2.0,15.0,4.0,8.0,10.0,7.0,3.0,9.0
65,ABCC8,5143,1.0,3.0,0.0,3.0,1.0,0.0,1.0,8.0,0.0,0.0
66,ABCC9,11435,52.0,926.0,123.0,456.0,9.0,573.0,94.0,56.0,237.0,69.0
67,ABCD1,3883,15769.0,1460.0,20413.0,547.0,3279.0,6163.0,21453.0,9926.0,2602.0,4830.0
68,ABCD2,5341,2.0,72.0,87.0,365.0,8.0,161.0,332.0,5.0,36.0,41.0
69,ABCD3,5544,728.0,4254.0,3251.0,1075.0,3890.0,7873.0,4629.0,3264.0,5281.0,1586.0
70,ABCD4,3328,1042.0,1843.0,1053.0,1611.0,1377.0,3010.0,1259.0,1853.0,1579.0,1683.0
71,ABCE1,4403,2301.0,7381.0,4487.0,2578.0,6096.0,9074.0,4816.0,4940.0,8084.0,2703.0
72,ABCF1,3465,4789.0,13083.0,4874.0,2702.0,6939.0,14118.0,8024.0,20154.0,7387.0,10823.0
73,ABCF2,3817,5477.0,6932.0,2690.0,2039.0,5224.0,9168.0,7057.0,3433.0,4004.0,4755.0
74,ABCF3,2579,4693.0,3278.0,2956.0,1744.0,1917.0,4898.0,3729.0,5286.0,2505.0,2519.0
75,ABCG1,4413,119.0,839.0,834.0,1475.0,183.0,953.0,6696.0,67.0,226.0,2153.0
76,ABCG2,4862,299.0,362.0,53.0,84.0,80.0,109.0,337.0,353.0,41.0,17.0
77,ABCG4,3941,12.0,3.0,106.0,5.0,12.0,25.0,10.0,6.0,6.0,1.0
78,ABCG5,3717,74.0,4.0,0.0,2.0,0.0,6.0,7.0,6.0,8.0,102.0
79,ABCG8,2664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0
80,ABHD10,2642,2263.0,2350.0,1122.0,1606.0,513.0,1748.0,1665.0,1486.0,1442.0,1178.0
81,ABHD11,1880,3428.0,798.0,709.0,380.0,967.0,1734.0,500.0,372.0,428.0,879.0
82,ABHD12B,1707,57.0,72.0,1.0,1.0,23.0,1.0,5.0,51.0,7.0,31.0
83,ABHD12,2253,5497.0,3979.0,4051.0,1245.0,5804.0,7661.0,10301.0,4018.0,5032.0,3843.0
84,ABHD13,5301,282.0,2415.0,817.0,1298.0,1329.0,2941.0,1681.0,695.0,1209.0,1413.0
85,ABHD14A,1740,896.0,635.74,363.63,775.81,461.25,656.16,483.0,1363.58,376.0,446.0
86,ABHD14B,2982,9210.0,4047.0,4147.0,5747.0,2174.0,12145.0,3672.0,6108.0,1470.0,4116.0
87,ABHD15,2739,588.0,659.0,931.0,1021.0,531.0,1840.0,1269.0,554.0,570.0,570.0
88,ABHD1,4343,80.0,3.0,4.0,22.0,2.0,4.0,9.0,6.0,34.0,4.0
89,ABHD2,9133,4770.0,5434.0,7497.0,2368.0,2945.0,8854.0,24178.0,3495.0,17046.0,4122.0
90,ABHD3,4635,243.0,1484.0,881.0,1520.0,799.0,1037.0,1260.0,400.0,1051.0,1049.0
91,ABHD4,2920,3073.0,1762.0,1237.0,810.0,2211.0,4937.0,2485.0,4283.0,3898.0,3092.0
92,ABHD5,5352,720.0,1258.0,1006.0,445.0,1215.0,2278.0,1177.0,1109.0,895.0,958.0
93,ABHD6,2459,1596.0,281.0,1576.0,554.0,2224.0,1911.0,2424.0,1328.0,229.0,1222.0
94,ABHD8,2089,499.0,469.0,490.0,469.0,143.0,434.0,579.0,416.0,961.0,537.0
95,ABI1,3717,2172.08,3688.0,4791.0,4012.87,4404.58,9922.06,7120.33,6511.0,2309.11,6054.34
96,ABI2,6914,2455.0,7247.0,1303.0,1369.0,2788.0,8601.0,4222.0,3499.0,7680.0,2958.0
97,ABI3BP,9633,46.0,90.0,188.0,4184.0,2496.0,2000.0,923.0,9.0,952.0,133.0
98,ABI3,2109,75.0,1194.0,975.0,2123.0,156.0,917.0,2013.0,119.0,403.0,569.0
99,ABL1,5961,3447.0,8302.0,4109.0,2202.0,10035.0,20773.0,9136.0,19138.0,6280.0,4393.0
100,ABL2,13114,4465.0,6910.0,13010.0,888.0,10825.0,53603.0,5811.0,25859.0,6973.0,2033.0
101,ABLIM1,9493,959.0,561.0,1676.0,8476.0,386.0,3185.0,1795.0,410.0,153.0,6654.0
102,ABLIM2,5775,138.0,63.0,105.0,92.0,14.0,220.0,100.0,6.0,43.0,132.0
103,ABLIM3,4768,396.0,421.0,440.0,888.0,921.0,1212.0,721.0,95.0,225.0,999.0
104,ABO,1579,0.0,0.0,3.0,12.0,1.0,3.0,6.0,9.0,1.0,0.0
105,ABP1,6687,0.0,5.0,7.0,274.0,6.0,26.0,8.0,4.0,6.0,3.0
106,ABRA,2753,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
107,ABR,7339,8807.0,12814.0,4939.0,3684.0,21876.0,14098.0,12614.0,34894.0,7106.0,12938.0
108,ABT1,2252,1450.0,4062.0,1072.0,2073.0,1711.0,2829.0,2204.0,4286.0,1892.0,3472.0
109,ABTB1,2250,1566.0,922.0,786.0,2410.0,729.0,1897.0,1407.0,249.0,1006.0,2009.0
110,ABTB2,4149,536.0,1601.0,775.0,311.0,1191.0,5181.0,1680.0,2027.0,606.0,1326.0
111,ACAA1,1818,3542.0,2702.0,1417.0,2503.0,3600.0,4138.0,2530.0,2266.0,1355.0,2431.0
112,ACAA2,1965,3284.0,4891.0,3150.0,1719.0,3056.0,2491.0,1913.0,3212.0,5073.0,866.0
113,ACACA,11751,2602.0,8757.0,1806.0,736.0,3483.0,7362.0,2178.0,5454.0,3927.0,1345.0
114,ACACB,9533,1833.0,293.0,1076.0,819.0,1180.0,293.0,679.0,1276.0,623.0,425.0
115,ACAD10,5409,1816.0,1534.0,2026.0,1003.0,1851.0,2470.0,1186.0,2068.0,963.0,868.0
116,ACAD11,4553,902.0,752.0,808.0,1422.97,882.0,1288.0,1470.0,478.0,1113.86,648.75
117,ACAD8,4352,719.0,717.0,886.0,938.0,1019.0,1610.0,1136.0,1696.0,1794.0,420.0
118,ACAD9,4051,2491.31,3297.0,1688.0,1122.0,1745.0,4508.0,2381.0,2572.0,2201.99,1868.99
119,ACADL,2978,0.0,0.0,3.0,2.0,1.0,1.0,0.0,88.0,5.0,4.0
120,ACADM,3289,2030.0,3873.0,5133.0,1407.0,2263.0,5109.0,5282.0,1711.0,6467.0,2543.0
121,ACADSB,5940,998.0,1352.0,1828.0,1313.0,520.0,2878.0,1252.0,131.0,572.0,939.0
122,ACADS,2071,2382.0,1079.0,2036.0,733.0,1004.0,2089.0,1523.0,3050.0,375.0,1360.0
123,ACADVL,3240,13805.97,7104.97,11057.99,9332.94,12847.99,20005.98,9601.99,7627.88,9394.98,9591.96
124,ACAN,10632,38.0,769.0,10.0,13.0,27.0,20.0,19.0,763.0,1679.0,32.0
125,ACAP1,2508,40.0,518.0,711.0,8135.0,122.0,1400.0,2373.0,6.0,240.0,558.0
126,ACAP2,8174,1233.0,4671.0,3569.0,3535.0,2191.0,8892.0,5235.0,2096.0,2990.0,3830.0
127,ACAP3,6852,1699.2,1339.0,1077.16,1092.37,2746.36,4013.42,2352.12,1435.02,7081.23,1407.28
128,ACAT1,4387,1875.0,1575.0,5897.0,1267.0,3975.0,4833.0,2919.0,2697.0,1312.0,1411.0
129,ACAT2,1850,1779.19,2306.94,1336.34,845.46,973.78,2427.01,1594.51,937.99,1777.15,481.75
130,ACBD3,3563,2435.0,4287.0,5602.0,1392.0,3887.0,12434.0,6116.0,2467.0,5108.0,2576.0
131,ACBD4,3092,525.0,229.0,509.0,813.0,240.0,1013.0,348.0,52.0,170.0,688.0
132,ACBD5,4288,935.0,1647.0,4081.0,972.0,1886.0,5570.0,2650.0,610.0,1419.0,1935.0
133,ACBD6,1615,1958.0,1631.0,1047.0,723.0,1578.0,2763.0,1021.0,3787.0,1426.0,484.0
134,ACBD7,4188,105.0,23.0,51.0,12.0,53.0,139.0,111.0,50.0,13.0,50.0
135,ACCN1,4269,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0
136,ACCN2,4004,84.0,52.0,44.0,82.0,54.0,172.0,39.0,643.0,90.0,87.0
137,ACCN3,2088,44.0,23.0,104.0,54.0,16.0,146.0,119.0,6.0,16.0,129.0
138,ACCN4,5058,8.0,138.0,0.0,2.0,6.0,1.0,21.0,6.0,8.0,4.0
139,ACCN5,1692,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140,ACCSL,1867,16.0,6.0,7.0,0.0,10.0,101.0,70.0,147.0,0.0,104.0
141,ACCS,4319,322.0,375.0,599.0,873.0,947.0,780.0,1612.0,387.0,362.0,949.0
142,ACD,2911,2288.0,1031.0,760.0,1049.0,1291.0,1544.0,1225.0,839.0,1696.0,1265.0
143,ACE2,3572,17.0,1.0,0.0,1.0,3.0,2.0,3.0,14.0,0.0,1.0
144,ACER1,1088,0.0,0.0,0.0,25.0,7.0,1.0,0.0,1.0,0.0,0.0
145,ACER2,3507,11.0,121.0,46.0,70.0,16.0,192.0,198.0,89.0,38.0,65.0
146,ACER3,4996,1535.0,2880.0,1024.0,458.0,1475.0,2454.0,916.0,988.0,1213.0,430.0
147,ACE,8185,79.0,860.0,506.0,334.0,53.0,645.0,2815.0,279.0,424.0,357.0
148,ACHE,3494,44.0,19.0,43.0,1030.0,3.0,493.0,145.0,14.0,8.0,69.0
149,ACIN1,6730,8519.0,11235.0,4683.0,8071.0,9490.0,10608.0,8601.0,12126.0,13856.0,7926.0
150,ACLY,4355,9967.0,20853.0,7770.0,4605.0,12604.0,22872.0,13377.0,20792.0,22142.0,8515.0
151,ACMSD,1355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
152,ACN9,2055,1262.0,655.0,334.0,447.0,1022.0,1092.0,663.0,677.0,963.0,368.0
153,ACO1,3944,3567.0,2613.0,1826.0,884.0,2400.0,4547.0,4250.0,3270.0,2666.0,1071.0
154,ACO2,2815,23450.46,7665.1,28705.09,3980.29,5491.07,15811.09,27461.2,21125.23,8777.46,6362.85
155,ACOT11,5051,1232.84,95.0,25.0,17.59,13.0,15.78,361.35,260.0,275.0,581.83
156,ACOT12,2036,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
157,ACOT13,4391,1749.18,1466.04,1070.77,903.35,967.76,2597.36,2327.44,882.88,952.48,1628.41
158,ACOT1,2349,1925.0,1111.0,1074.0,402.0,838.0,2102.0,844.0,2125.0,644.0,781.0
159,ACOT2,2275,872.0,957.0,679.0,284.0,625.0,1669.0,549.0,1181.0,373.0,607.0
160,ACOT4,1630,105.0,95.0,108.0,90.0,125.0,18.0,143.0,500.0,107.0,149.0
161,ACOT6,1002,21.0,0.0,2.0,0.0,1.0,5.0,5.0,2.0,1.0,2.0
162,ACOT7,2461,14923.0,4413.0,17232.0,906.0,13062.0,17281.0,20675.0,5094.0,5576.0,7169.0
163,ACOT8,3202,1067.79,870.31,662.32,786.11,1532.99,1303.62,1762.78,1301.31,1396.86,752.86
164,ACOT9,2035,3219.0,1416.0,2124.0,790.0,3161.0,4118.0,2502.0,1306.0,1698.0,861.0
165,ACOX1,7848,1742.0,2967.0,2768.0,1185.15,2340.0,9710.45,3828.0,1834.0,2001.55,1791.29
166,ACOX2,2308,31.0,72.0,12.0,102.0,10.0,57.0,411.0,28.0,257.0,92.0
167,ACOX3,3514,511.0,900.0,767.0,524.0,1374.0,2067.0,1067.0,2504.0,468.0,1063.0
168,ACOXL,3321,3.0,7.0,4.0,1.0,0.0,5.0,4.0,0.0,5.0,8.0
169,ACP1,2547,3031.0,4163.0,2607.0,2520.0,2887.0,4152.0,3416.0,4225.0,5069.0,3177.0
170,ACP2,2798,2146.0,3486.0,3432.0,1356.0,2063.0,5833.0,7565.0,3300.0,3010.0,3380.0
171,ACP5,2137,11228.0,10531.0,5316.0,2858.0,6290.0,10205.0,11077.0,10298.0,3588.0,9228.0
172,ACP6,4116,1045.0,936.0,417.0,390.0,755.0,740.0,755.0,699.0,3985.0,382.0
173,ACPL2,3388,315.0,650.0,279.0,464.0,227.0,905.0,573.0,295.0,2742.0,387.0
174,ACPP,3816,1.0,29.0,14.0,21.0,23.0,17.0,44.0,10.0,465.0,8.0
175,ACPT,1347,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
176,ACRBP,2063,21.0,129.0,65.0,157.0,14.0,116.0,160.0,10.0,19.0,36.0
177,ACRC,3178,133.0,29.0,29.0,108.0,74.0,77.0,73.0,9.0,188.0,21.0
178,ACRV1,1323,1.0,8.0,3.0,3.0,19.0,28.0,2.0,45.0,11.0,6.0
179,ACR,1751,2.0,3.0,6.0,5.0,2.0,19.0,2.0,11.0,0.0,1.0
180,ACSBG1,2828,169.0,195.0,17.0,22.0,2777.0,49.0,243.0,645.0,138.0,18.0
181,ACSBG2,2775,1.0,7.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0
182,ACSF2,2418,465.0,962.0,1285.0,661.0,208.0,1220.0,1812.0,1588.0,671.0,390.0
183,ACSF3,3728,2641.0,576.0,810.0,943.0,695.0,1599.0,1383.0,1215.0,1057.0,1278.0
184,ACSL1,4802,3194.0,2791.0,5657.0,1088.0,6338.0,12375.0,8322.0,1224.0,1144.0,1643.0
185,ACSL3,5596,13850.0,6527.0,43300.0,1479.0,8789.0,18409.0,13534.0,3207.0,9700.0,15672.0
186,ACSL4,5335,1546.0,6320.0,3080.0,1940.0,2685.0,8177.0,7329.0,808.0,3350.0,2874.0
187,ACSL5,3825,110.0,2169.0,529.0,2896.0,392.0,901.0,5926.0,96.0,239.0,1813.0
188,ACSL6,5197,5.0,13.0,5.0,114.0,5.0,59.0,38.0,0.0,2.0,6.0
189,ACSM1,2221,0.0,1.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0
190,ACSM2A,4478,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
191,ACSM2B,2666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
192,ACSM3,2401,14.73,34.7,11.02,156.19,25.58,22.35,85.69,15.76,13.08,16.45
193,ACSM4,1743,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
194,ACSM5,2776,32.0,57.0,26.0,39.0,16.0,56.0,66.0,2.0,2.0,4.0
195,ACSS1,6186,863.0,5127.0,964.0,3119.0,3767.0,2554.0,6336.0,3044.0,3524.0,1745.0
196,ACSS2,3193,2199.0,1854.0,2644.0,870.0,1722.0,3298.0,5089.0,2233.0,5780.0,2811.0
197,ACSS3,3226,62.0,1139.0,53.0,136.0,1.0,117.0,1529.0,7.0,3412.0,10.0
198,ACTA1,1490,9.0,3.0,2.0,0.0,12.0,8.0,6.0,24.0,10.0,15.0
199,ACTA2,3033,2243.31,6724.85,1489.64,13521.91,1156.06,4859.98,5013.66,11404.35,2977.37,1629.95
200,ACTBL2,2793,5.0,0.0,12.0,0.0,5.0,5.0,3.0,2.0,4.0,1.0
201,ACTB,2333,342839.0,245630.0,245969.0,359027.0,269112.0,516306.0,332625.0,619574.0,241378.0,204795.0
202,ACTC1,3693,3.0,0.0,3.0,2.0,0.0,6.0,0.0,0.0,2.0,3.0
203,ACTG1,2296,212665.0,245264.0,225262.0,108791.0,275737.0,580863.0,264480.0,276460.0,200554.0,232948.0
204,ACTG2,2528,409.0,352.0,44.0,143.0,47.0,84.0,298.0,1235.0,1461.0,875.0
205,ACTL6A,1901,2878.0,5263.0,899.0,1391.0,1786.0,4594.0,2574.0,3665.0,41840.0,2289.0
206,ACTL6B,1554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,ACTL7A,1433,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,ACTL7B,1405,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
209,ACTL8,1859,6.0,8.0,0.0,1.0,0.0,0.0,1.0,253.0,0.0,3.0
210,ACTL9,1422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,ACTN1,7303,22072.0,9934.0,23646.0,5725.0,27348.0,42212.0,20277.0,13073.0,35032.0,14724.0
212,ACTN2,4735,230.0,7.0,71.0,3.0,14.0,60.0,7.0,158.0,126.0,0.0
213,ACTN3,3249,0.0,3.0,3.0,3.0,1.0,5.0,4.0,2.0,2.0,0.0
214,ACTN4,4091,20626.83,27231.14,16356.78,9716.19,34806.51,47243.16,67967.64,30809.51,42669.4,23246.8
215,ACTR10,2524,2442.0,3215.0,3553.0,1421.0,2501.0,6245.0,2737.0,3003.0,4355.0,2512.0
216,ACTR1A,2872,9041.0,7280.0,9768.0,3905.0,7286.0,17792.0,6654.0,5856.0,6389.0,7410.0
217,ACTR1B,2258,1861.0,2022.0,1638.0,3035.0,2351.0,5825.0,8708.0,2392.0,2475.0,2781.0
218,ACTR2,4324,7732.0,23159.0,14811.0,16766.0,14604.0,39099.0,24418.0,16996.0,30919.0,14598.0
219,ACTR3B,2199,619.0,812.0,170.0,267.0,504.0,357.0,485.0,197.0,378.0,295.0
220,ACTR3C,1218,10.0,105.0,3.0,37.0,6.0,12.0,70.0,13.0,8.0,5.0
221,ACTR3,2893,6335.0,13503.0,16080.0,14862.0,11769.0,26010.0,21950.0,7558.0,17982.0,9573.0
222,ACTR5,2479,670.0,669.0,392.0,624.0,870.0,868.0,717.0,1191.0,1379.0,376.0
223,ACTR6,2821,613.0,1256.0,832.0,970.0,1109.0,2459.0,1549.0,811.0,1248.0,1223.0
224,ACTR8,3702,1140.0,2430.0,1284.0,648.0,2120.0,2476.0,1332.0,2189.0,1181.0,1470.0
225,ACTRT1,1440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,ACTRT2,1420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,ACVR1B,5400,1081.0,1697.0,662.0,1019.0,1867.0,2671.0,2050.0,3259.0,1050.0,1193.0
228,ACVR1C,9076,76.0,63.0,176.0,207.0,316.0,265.0,210.0,28.0,52.0,142.0
229,ACVR1,3269,1385.0,1090.0,1709.0,788.0,2345.0,3821.0,2480.0,1122.0,3361.0,4157.0
230,ACVR2A,5433,224.0,701.0,209.0,706.0,517.0,928.0,497.0,649.0,588.0,437.0
231,ACVR2B,11453,669.0,6355.0,661.0,420.0,1173.0,1747.0,520.0,1730.0,536.0,727.0
232,ACVRL1,4403,283.0,1646.0,401.0,1763.0,139.0,1462.0,1911.0,2072.0,413.0,417.0
233,ACY1,2527,4982.0,3417.26,4134.37,522.19,2734.75,3643.84,1895.0,5327.42,1328.0,3395.0
234,ACY3,1299,71.0,20.0,14.0,216.0,4.0,3.0,93.0,0.0,2.0,82.0
235,ACYP1,684,636.0,212.0,394.0,279.0,280.0,685.0,452.0,103.0,530.0,603.0
236,ACYP2,1220,175.0,113.0,293.0,303.0,289.0,187.0,365.0,121.0,339.0,192.0
237,ADAD1,2254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,ADAD2,2304,5.0,0.0,0.0,4.0,0.0,0.0,2.0,75.93,1.0,110.73
239,ADAL,3964,405.0,668.0,394.0,297.0,894.0,846.0,1217.0,170.0,756.0,874.0
240,ADAM10,5239,2538.0,4386.0,3874.0,1839.0,6676.0,17774.0,7469.0,1752.0,5668.0,4057.0
241,ADAM11,4410,1199.0,48.0,273.0,25.0,97.0,176.0,47.0,292.0,37.0,46.0
242,ADAM12,8932,392.0,3130.0,1078.0,963.0,564.0,2065.0,1657.0,3622.0,5166.0,659.0
243,ADAM15,4969,7286.0,5652.3,4311.08,1500.0,13086.11,15477.25,5925.13,6213.0,7555.46,6325.33
244,ADAM17,4704,426.0,1906.0,1165.0,804.0,1130.0,2869.0,1191.0,1047.0,3691.0,1053.0
245,ADAM18,2778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,ADAM19,7036,128.0,942.0,824.0,4494.0,1522.0,1717.0,1852.0,940.0,861.0,682.0
247,ADAM20,2791,1.0,4.0,0.0,1.0,2.0,7.0,2.0,0.0,0.0,3.0
248,ADAM21P1,2048,3.0,4.0,0.0,1.0,0.0,12.0,0.0,3.0,14.0,1.0
249,ADAM21,2405,12.0,4.0,6.0,2.0,0.0,70.0,3.0,13.0,25.0,3.0
250,ADAM22,5250,10.0,36.0,20.0,45.0,23.0,703.0,14.0,147.0,194.0,0.0
251,ADAM23,3095,76.0,39.0,919.0,102.0,970.0,4251.0,397.0,1451.0,463.0,2.0
